#{"t_start": 1521694464.1732147, "env_id": null}
r,l,t
-7.589118,10,4.568826
-2.849266,10,4.571406
-49.595493,10,4.573944
-26.278448,10,4.576485
-21.13324,10,4.578991
-3.011226,10,4.58153
-2.501918,10,4.584038
-2.316507,10,4.58656
-7.312033,10,4.589077
-3.071479,10,4.605765
-3.225682,10,4.60829
-8.508564,10,4.610797
-4.80459,10,4.613298
-3.130383,10,4.615849
-2.465371,10,4.618372
-5.8082,10,4.620959
-7.116927,10,4.623495
-8.270338,10,4.626045
-11.843486,10,4.628582
-4.551658,10,4.644985
-8.078399,10,4.647495
-2.971853,10,4.649956
-10.027844,10,4.652507
-1.850803,10,4.655091
-8.98862,10,4.657639
-1.473661,10,4.660186
-2.921901,10,4.662769
-5.627788,10,4.665281
-5.373899,10,4.667906
-3.076093,10,4.686736
-17.032122,10,4.689144
-13.041117,10,4.691652
-3.708464,10,4.694165
-13.897743,10,4.696667
